Date,Name,Year,Letterboxd URI,Rating
2020-03-23,The League of Gentlemen's Apocalypse,2005,https://boxd.it/1ED4,3
2020-03-24,Pirates of the Caribbean: On Stranger Tides,2011,https://boxd.it/27Z4,2
2020-03-24,Foodfight!,2012,https://boxd.it/3Ti0,1
2020-03-26,Battleship Potemkin,1925,https://boxd.it/29Vo,4
2020-03-30,A Snake of June,2002,https://boxd.it/1fuQ,4
2020-03-31,Grown Ups 2,2013,https://boxd.it/3GAq,1
2020-04-16,Dead Man's Shoes,2004,https://boxd.it/1R6C,4
2020-05-09,Taxi,2015,https://boxd.it/amS4,4
2020-05-09,Leaving Las Vegas,1995,https://boxd.it/2amE,4
2020-05-22,Shrek Forever After,2010,https://boxd.it/1WRo,2
2020-06-19,The Iron Giant,1999,https://boxd.it/1Wow,4
2020-07-05,UHF,1989,https://boxd.it/1SFI,4
2020-07-22,Punch-Drunk Love,2002,https://boxd.it/20E4,5
2020-07-25,Magnolia,1999,https://boxd.it/2aze,5
2020-07-30,Things,1989,https://boxd.it/2SpC,4
2020-08-01,Fargo,1996,https://boxd.it/2aHM,5
2020-08-08,Mother,2009,https://boxd.it/1m9g,4
2020-08-10,PNYC: Portishead - Roseland New York,1998,https://boxd.it/1M42,4
2020-08-12,Three Colors: Blue,1993,https://boxd.it/2b7K,4
2020-08-13,In the Mouth of Madness,1994,https://boxd.it/26vi,4
2020-08-16,The Empire Strikes Back,1980,https://boxd.it/27Vw,4
2020-08-18,Justice League,2017,https://boxd.it/4w68,2
2020-08-21,Ghostbusters II,1989,https://boxd.it/261s,2
2020-08-25,Die Hard,1988,https://boxd.it/2a7u,4
2020-08-27,Bill & Ted's Excellent Adventure,1989,https://boxd.it/28oI,4
2020-09-13,Ant-Man,2015,https://boxd.it/3vmW,3
2020-09-22,Miller's Crossing,1990,https://boxd.it/2avG,4
2020-09-23,The Day After,1983,https://boxd.it/21cg,2
2020-10-11,Strike,1925,https://boxd.it/QFk,4
2020-10-13,Crank,2006,https://boxd.it/27MY,3
2021-01-02,The Bridge on the River Kwai,1957,https://boxd.it/29wo,4
2021-01-20,Spider-Man 2,2004,https://boxd.it/2a88,4
2021-05-03,Burden of Dreams,1982,https://boxd.it/XGk,4
2021-06-02,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,4
2021-06-02,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,4
2021-06-02,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,4
2021-06-04,National Lampoon's Vacation,1983,https://boxd.it/1Uvq,2
2021-07-09,Austin Powers in Goldmember,2002,https://boxd.it/29xG,3
2021-07-12,Face/Off,1997,https://boxd.it/29I0,4
2021-07-13,Being There,1979,https://boxd.it/1WxS,4
2021-07-22,Finding Nemo,2003,https://boxd.it/72i,4
2021-07-23,Bridge of Spies,2015,https://boxd.it/9n9C,3
