Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-05-29,The Simpsons Movie,2007,https://boxd.it/hwiul,4,Yes,,2017-05-29
2017-05-29,The Grand Budapest Hotel,2014,https://boxd.it/hwivD,5,Yes,,2017-05-29
2017-05-30,Guardians of the Galaxy,2014,https://boxd.it/hwlaN,4,Yes,,2017-05-29
2017-06-02,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/hA9rP,3.5,,w/ dad,2017-06-01
2017-06-03,Logan,2017,https://boxd.it/hCl43,5,Yes,,2017-06-03
2017-06-03,John Wick: Chapter 2,2017,https://boxd.it/hCl5b,3.5,,,2017-06-03
2017-06-03,"I, Daniel Blake",2016,https://boxd.it/hCl5l,4.5,,,2017-06-03
2017-06-07,Wonder Woman,2017,https://boxd.it/hHgZ9,3,,,2017-06-06
2017-06-12,The Beatles: Eight Days a Week - The Touring Years,2016,https://boxd.it/hOAmb,4,,,2017-06-10
2017-06-17,The Blob,1988,https://boxd.it/hTFNr,4.5,,,2017-06-16
2017-06-18,Jack Reacher: Never Go Back,2016,https://boxd.it/hV41J,2.5,,,2017-06-17
2017-06-20,The King of Kong: A Fistful of Quarters,2007,https://boxd.it/hXZqb,5,Yes,,2017-06-19
2017-06-21,Rocky II,1979,https://boxd.it/hYQUt,4,,,2017-06-20
2017-06-21,Wayne's World 2,1993,https://boxd.it/hZ4QF,3.5,,,2017-06-20
2017-06-21,Little Shop of Horrors,1986,https://boxd.it/i01iH,4.5,,,2017-06-21
2017-06-22,Ghostbusters,1984,https://boxd.it/i0awX,5,Yes,,2017-06-21
2017-06-22,Tremors,1990,https://boxd.it/i0fG9,4.5,,,2017-06-21
2017-06-23,Rocky III,1982,https://boxd.it/i1tlh,3,,,2017-06-22
2017-06-23,Atari: Game Over,2014,https://boxd.it/i2v1F,3,,,2017-06-23
2017-06-24,First Blood,1982,https://boxd.it/i3C81,5,,,2017-06-24
2017-06-25,UHF,1989,https://boxd.it/i4XtB,3,,,2017-06-25
2017-06-27,Gayniggers from Outer Space,1992,https://boxd.it/i6UDR,3,,,2017-06-26
2017-06-27,B14?,2012,https://boxd.it/i74Qh,2.5,,,2017-06-26
2017-06-27,Plan 9 from Outer Space,1957,https://boxd.it/i7clh,3,,,2017-06-26
2017-06-28,Time Bandits,1981,https://boxd.it/i7Qvr,5,,,2017-06-27
2017-06-28,Fateful Findings,2013,https://boxd.it/i8cub,1,,,2017-06-27
2017-06-28,LEGO Jack Stone,2001,https://boxd.it/i8doX,2,,,2017-06-27
2017-06-29,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/i9gZp,4,,,2017-06-28
2017-06-29,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/i9IBl,2.5,Yes,,2017-06-28
2017-06-29,Birdemic: Shock and Terror,2010,https://boxd.it/i9Phn,2,,,2017-06-28
2017-06-30,Samurai Cop,1991,https://boxd.it/iaVIh,2,Yes,,2017-06-29
2017-07-01,Okja,2017,https://boxd.it/ic94d,3.5,,,2017-06-30
2017-07-01,What We Do in the Shadows,2014,https://boxd.it/icogt,4.5,,,2017-06-30
2017-07-02,Raiders!: The Story of the Greatest Fan Film Ever Made,2015,https://boxd.it/idCTB,2.5,,,2017-07-01
2017-07-03,Creepshow,1982,https://boxd.it/ifjFz,4,,,2017-07-02
2017-07-04,Bowling for Columbine,2002,https://boxd.it/igPqt,4.5,,,2017-07-03
2017-07-05,The Darjeeling Limited,2007,https://boxd.it/iiozd,4,,,2017-07-04
2017-07-06,Bottle Rocket,1996,https://boxd.it/ijBST,4,,,2017-07-05
2017-07-06,Stripes,1981,https://boxd.it/ijRDb,3,,,2017-07-05
2017-07-06,The Monster Squad,1987,https://boxd.it/ik7lx,4.5,,,2017-07-05
2017-07-09,Tango Tangles,1914,https://boxd.it/inRwd,3,,,2017-07-08
2017-07-09,Twenty Minutes of Love,1914,https://boxd.it/inSnr,3.5,,,2017-07-08
